# expression<TAB>canonical JSON result
nil	null
true	true
42	42
1.5	1.5
"hello"	"hello"
[1, 2, 3]	[1,2,3]
{a: 1, b: "two"}	{"a":1,"b":"two"}
{b: "two", a: 1}	{"a":1,"b":"two"}
1 + 2 * 3	7
2 ** 3	8
1 + 0.5	1.5
1 == 1.0	true
1 < 1.5	true
false and unknown	false
true or unknown	true
nil ?? "fallback"	"fallback"
true ? "yes" : "no"	"yes"
[1, 2, 3][-1]	3
[1, 2, 3, 4][1:3]	[2,3]
2 in [1, 2, 3]	true
"hello" startsWith "he"	true
"hello" matches "^h"	true
1..3	[1,2,3]
let x = 2; x * 3	6
upper("mise")	"MISE"
split("a,b", ",")	["a","b"]
split("a;b", ";")	["a","b"]
map([1, 2, 3], {# * 2})	[2,4,6]
filter([1, 2, 3], {# > 1})	[2,3]
find([1, 2, 3], {# > 1})	2
sort([3, 1, 2])	[1,2,3]
sort(keys({a: 1, b: 2}))	["a","b"]
len({a: 1, b: 2})	2
int("42")	42
float("1.5")	1.5
float(5)	5
string(42)	"42"
bitand(14, 11)	10
bitushr(-5, 2)	4611686018427387902
0x2A	42
0x_2A	42
0o52	42
0b101010	42
1_000_000	1000000
.5	0.5
2 not in [1, 3]	true
"name" not in {other: 1}	true
{"display-name": "mise"}["display-name"]	"mise"
[1, 2,]	[1,2]
{a: 1,}	{"a":1}
max(5, 7)	7
min(5, 7)	5
max(1.5, 2)	2
max(9007199254740992, 9007199254740993)	9007199254740993
min(9007199254740993, 9007199254740992)	9007199254740992
type(max(1.5, 2))	"int"
abs(-5)	5
abs(-1.5)	1.5
ceil(1.5)	2
floor(1.5)	1
round(1.5)	2
round(-1.5)	-2
type(ceil(2))	"float"
max([1, [5, 3]], 4)	5
mean([1, 2, 3, 4])	2.5
median([4, 1, 3, 2])	2.5
join(["a", "b", "c"], "-")	"a-b-c"
join(["a", "b"])	"ab"
first([1, 2, 3])	1
first([])	null
last([1, 2, 3])	3
last([])	null
take([1, 2, 3], 2)	[1,2]
take([1, 2], 9)	[1,2]
reverse([1, 2, 3])	[3,2,1]
uniq([1, 2, 1, 3, 2])	[1,2,3]
concat([1, 2], [3], [])	[1,2,3]
flatten([1, [2, [3]], 4])	[1,2,3,4]
count([true, false, true])	2
count([1, 2, 3], {# > 1})	2
sum([1, 2, 3])	6
sum([1, 2.5, 3])	6.5
sum([1, 2, 3], {# * 2})	12
reduce([1, 2, 3], #acc + #)	6
reduce([1, 2, 3], #acc + #, 10)	16
reduce([1, 2, 3], {let doubled = # * 2; #acc + doubled}, 10)	22
[1, 2, 3] | reduce(#acc + #, 10)	16
[1, 2, 3] | reduce({#acc + #}, 10)	16
type(nil)	"nil"
type(42)	"int"
type(1.5)	"float"
type([1])	"array"
get([1, 2], 1)	2
get([1, 2], -1)	2
get([1, 2], 9)	null
get({a: 1}, "a")	1
get({a: 1}, "missing")	null
toBase64("Hello World")	"SGVsbG8gV29ybGQ="
fromBase64("SGVsbG8gV29ybGQ=")	"Hello World"
sortBy(toPairs({a: 1, b: 2}), {#[0]})	[["a",1],["b",2]]
fromPairs([["a", 1], ["b", 2]]).b	2
